MM/DD/YYYY-HH:MM:SS, TREATMENT, AVERAGE_TEMPERATURE, AVERAGE_HUMIDITY
00/13/2000-16:24:30,3,30.4,68.5
00/13/2000-16:25:30,3,30.3,67.3
00/13/2000-16:26:30,3,30.3,67.6
00/13/2000-16:27:30,3,30.3,67.8
00/13/2000-16:28:30,3,30.2,70.1
00/13/2000-16:29:30,3,30.2,68.5
00/13/2000-16:30:30,3,30.4,69.4
00/13/2000-16:31:30,3,30.4,70.0
00/13/2000-16:32:30,3,30.4,70.1
00/13/2000-16:33:30,3,30.4,70.1
00/13/2000-16:34:53,3,30.4,67.9
00/13/2000-16:35:40,3,30.3,68.1
00/13/2000-16:36:42,3,30.3,67.5
00/13/2000-16:37:46,3,30.3,67.8
00/13/2000-16:38:49,3,30.3,67.8
00/13/2000-16:39:35,2,30.1,68.2
00/13/2000-16:40:37,2,30.2,67.8
00/13/2000-16:41:41,2,30.2,68.9
00/13/2000-16:42:41,2,30.2,67.6
00/13/2000-16:44:05,2,30.2,66.8
00/13/2000-16:45:31,2,30.1,67.9
00/13/2000-16:46:18,2,30.0,67.6
00/13/2000-16:47:18,2,30.0,68.7
01/13/2026-16:48:22,2,30.0,67.2
01/13/2026-16:48:22,2,30.0,67.7
01/13/2026-16:49:09,2,30.1,67.9
01/13/2026-16:51:41,2,30.1,67.8
01/13/2026-16:52:34,2,30.0,67.3
01/13/2026-16:53:30,2,30.0,68.4
01/13/2026-16:54:38,2,30.0,67.9
01/13/2026-16:55:31,2,29.8,67.9
01/13/2026-16:54:38,3,29.8,67.8
01/13/2026-16:55:31,3,29.8,68.4
01/13/2026-16:59:17,3,29.8,68.0
01/13/2026-17:00:10,3,29.8,67.6
01/13/2026-17:01:06,3,29.7,68.3
01/13/2026-17:02:04,3,29.8,67.5
01/13/2026-17:03:10,3,29.8,67.9
01/13/2026-17:04:10,3,29.8,68.5
01/13/2026-17:05:06,3,22.4,63.4
01/13/2026-17:06:04,3,29.8,68.9
01/13/2026-17:07:13,3,29.9,68.6
01/13/2026-17:08:10,3,29.9,68.0
01/13/2026-17:09:04,3,29.9,69.1
01/13/2026-17:10:04,3,29.9,68.4
01/13/2026-17:11:13,3,29.9,68.7
01/13/2026-17:12:10,3,29.8,69.4
01/13/2026-17:13:09,3,29.8,69.0
01/13/2026-17:14:02,3,29.7,69.2
01/13/2026-17:14:56,3,29.7,69.8
01/13/2026-17:15:56,3,29.8,69.3
01/13/2026-17:17:04,3,29.8,69.7
01/13/2026-17:18:02,3,29.8,70.3
01/13/2026-17:18:58,3,29.9,70.2
01/13/2026-17:20:26,3,29.9,69.5
01/13/2026-17:21:19,3,29.7,70.4
01/13/2026-17:22:10,3,29.7,70.3
01/13/2026-17:23:36,3,29.5,70.7
01/13/2026-17:24:23,3,29.5,71.2
01/13/2026-17:25:25,3,29.7,69.6
01/13/2026-17:26:29,3,29.5,71.0
01/13/2026-17:27:29,3,29.5,71.9
01/13/2026-17:28:27,3,29.5,72.3
01/13/2026-17:29:20,3,29.5,72.6
01/13/2026-17:30:56,3,29.5,72.2
01/13/2026-17:31:49,3,29.4,73.7
01/13/2026-17:32:43,3,29.4,73.3
01/13/2026-17:33:43,3,29.5,72.9
01/13/2026-17:34:51,3,29.5,73.1
01/13/2026-17:35:49,3,29.5,72.7
01/13/2026-17:37:12,3,29.5,73.1
01/13/2026-17:38:05,3,29.5,73.4
01/13/2026-17:38:59,3,29.6,71.6
01/13/2026-17:39:59,3,29.5,74.0
01/13/2026-17:41:07,3,29.6,73.8
01/13/2026-17:42:05,3,29.5,74.1
01/13/2026-17:43:01,3,29.5,74.2
01/13/2026-17:43:59,3,29.5,73.4
01/13/2026-17:45:05,3,29.5,74.3
01/13/2026-17:46:05,3,29.5,74.4
01/13/2026-17:47:25,3,29.5,74.2
01/13/2026-17:48:18,3,29.3,74.7
01/13/2026-17:49:14,3,29.3,76.0
01/13/2026-17:50:12,3,29.4,75.0
01/13/2026-17:51:18,3,29.4,74.4
01/13/2026-17:52:18,3,29.3,76.8
01/13/2026-17:53:10,3,29.3,76.2
01/13/2026-17:54:03,3,29.1,75.8
01/13/2026-17:55:03,3,29.1,75.9
01/13/2026-17:55:56,3,28.8,79.1
01/13/2026-17:56:50,3,29.0,77.4
01/13/2026-17:57:50,3,29.0,77.3
01/13/2026-17:58:59,3,29.2,76.6
01/13/2026-18:00:41,3,29.2,75.9
01/13/2026-18:01:28,3,29.0,77.2
01/13/2026-18:02:28,3,29.0,77.0
01/13/2026-18:03:34,3,29.0,77.1
01/13/2026-18:04:37,3,29.0,76.6
01/13/2026-18:05:28,3,29.0,77.7
01/13/2026-18:06:30,3,29.0,77.3
01/13/2026-18:07:57,3,29.0,77.0
01/13/2026-18:08:50,3,28.9,77.2
01/13/2026-18:10:23,3,28.9,77.1
01/13/2026-18:11:25,3,28.8,78.1
01/13/2026-18:12:40,3,28.7,78.2
01/13/2026-18:13:33,3,28.8,78.3
01/13/2026-18:14:53,3,28.8,78.1
01/13/2026-18:15:46,3,28.9,77.6
01/13/2026-18:16:42,3,28.9,76.9
01/13/2026-18:18:03,3,28.9,77.6
01/13/2026-18:18:56,3,28.8,78.6
01/13/2026-18:19:52,3,28.8,78.1
01/13/2026-18:21:14,3,28.9,77.6
01/13/2026-18:22:32,3,28.8,77.9
01/13/2026-18:23:19,3,28.6,82.0
01/13/2026-18:24:19,3,28.6,82.0
01/13/2026-18:25:26,3,28.6,82.0
01/13/2026-18:26:28,3,28.6,82.0
01/13/2026-18:27:19,3,28.6,82.0
01/13/2026-18:28:21,3,28.6,82.0
01/13/2026-18:29:26,3,28.6,82.0
01/13/2026-18:30:26,3,28.6,82.0
01/13/2026-18:31:26,3,28.6,82.0
01/13/2026-18:31:35,3,28.6,82.0
01/13/2026-18:33:33,3,-999.0,-1.0
01/13/2026-18:34:20,3,29.5,75.8
01/13/2026-18:35:20,3,29.7,76.7
01/13/2026-18:36:26,3,29.4,75.6
01/13/2026-18:37:29,3,28.9,77.0
01/13/2026-18:40:42,3,28.0,81.9
01/13/2026-18:41:29,3,27.8,82.8
01/13/2026-18:42:29,3,27.8,82.8
